shelfmark,pages,label,title,author,date,language,subject,description,other_metadata
Pal.lat.764,202,Pal.lat.764,Codicis Iustiniani imp. libri IX,"Iustinianus I, imperatore d'Oriente, 482-565",13. Jh.,lat,,,Shelfmark: Pal.lat.764
Pal.lat.765,622,Pal.lat.765,Codicis Iustiniani imp.,"Iustinianus I, imperatore d'Oriente, 482-565",14. Jh.,lat,,,Shelfmark: Pal.lat.765
Pal.lat.766,562,Pal.lat.766,Codicis Iustiniani imperatoris,"Iustinianus I, imperatore d'Oriente, 482-565",13.-14. Jh.,lat,,,Shelfmark: Pal.lat.766
Pal.lat.768,152,Pal.lat.768,Institutiones Iustiniani imperatoris,"Iustinianus I, imperatore d'Oriente, 482-565 ; Accursius, Franciscus, padre, c. 1182-1263",14. Jh.,lat,,,Shelfmark: Pal.lat.768
Pal.lat.769,140,Pal.lat.769,Institutiones Iustiniani imperatoris,"Iustinianus I, imperatore d'Oriente, 482-565",13. Jh.,lat,,,Shelfmark: Pal.lat.769
Pal.lat.767,604,Pal.lat.767,Codicis Iustiniani imperatoris,"Iustinianus I, imperatore d'Oriente, 482-565 ; Accursius, Franciscus, padre, c. 1182-1263",14. Jh.,lat,,,"Shelfmark: Pal.lat.767 | Other Name: Lambertinus de Ramponibus, m. 1304"
Pal.lat.771,208,Pal.lat.771,Institutiones Iustiniani imp,,12. Jh.,,,,Shelfmark: Pal.lat.771
Pal.lat.770,658,Pal.lat.770,Institutiones Iustiniani imperatoris,"Iustinianus I, imperatore d'Oriente, 482-565",15. Jh.,lat,,,Shelfmark: Pal.lat.770
Pal.lat.772,210,Pal.lat.772,Legis longobardorum libri tres,,12. Jh.,lat,,,Shelfmark: Pal.lat.772
Pal.lat.773,132,Pal.lat.773,Leges Ripuariae,,10. Jh.,,,,Shelfmark: Pal.lat.773
Pal.lat.774,243,Pal.lat.774,Liber statutorum et legum Venetorum illustris Iacobi Teupuli incliti ducis Veneciae,Venezia (repubblica). Doge (1229-1249 : Jacopo Tiepolo),14. Jh.,lat,,,Shelfmark: Pal.lat.774
Pal.lat.775,776,Pal.lat.775,Collectio formularum Cancellariae Imperialis,,16. Jh.,lat,,,Shelfmark: Pal.lat.775
