shelfmark,pages,label,title,author,date,language,subject,description,other_metadata
Pal.lat.1565,208,Pal.lat.1565,Opus agriculturae,"Palladius, Rutilius Taurus Aemilianus",1351-1400,Latino,,,Shelfmark: Pal.lat.1565
Pal.lat.1567,196,Pal.lat.1567,Codice miscellaneo,"Mela, Pomponius",Sec. XV-XVI,Latino,,,Shelfmark: Pal.lat.1567
Pal.lat.1566,287,Pal.lat.1566,Opus agriculturae,"Palladius, Rutilius Taurus Aemilianus",sec. XIV med,,,,Shelfmark: Pal.lat.1566 | Place: Italia
Pal.lat.1564,358,Pal.lat.1564,Agrimensores,,sec. IX in,,,,Shelfmark: Pal.lat.1564 | Place: Bassa Renania
Pal.lat.1569,178,Pal.lat.1569,Codice miscellaneo,"Solinus, Gaius Iulius; Einhardus",Sec. XV,Latino,,,Shelfmark: Pal.lat.1569
Pal.lat.1570,204,Pal.lat.1570,Codice miscellaneo,"Solinus, Gaius Iulius",Sec. XV,Latino,,,Shelfmark: Pal.lat.1570
Pal.lat.1572,200,Pal.lat.1572,Epitoma Rei Militaris,"Vegetius Renatus, Flavius",9. Jh.,,,,Shelfmark: Pal.lat.1572 | Place: Frankreich
Pal.lat.1573,251,Pal.lat.1573,Sammelhandschrift,"Vegetius Renatus, Flavius; Avianus (Poeta); Maximianus Etruscus; Statius, Publius Papinius; Claudianus, Claudius",12. Jh. ; 13. Jh,,,,"Shelfmark: Pal.lat.1573 | Place: Deutschland? , Frankreich"
Pal.lat.1574,262,Pal.lat.1574,Metamorphoses,Apuleius <Madaurensis>,15. Jh.,,,,Shelfmark: Pal.lat.1574 | Place: Italien
Pal.lat.1576,172,Pal.lat.1576,Epistulae,"Symmachus, Quintus Aurelius",Sec. XI,Latino,,,Shelfmark: Pal.lat.1576
Pal.lat.1575,513,Pal.lat.1575,Sammelhandschrift,"Macrobius, Ambrosius Theodosius",15. Jh.,und,,,Shelfmark: Pal.lat.1575 | Place: Italien
Pal.lat.1581,172,Pal.lat.1581,Philosophiae consolatio (cum glossis Remigii Autissiodorensis),Boethius,10. Jh.,und,,,Shelfmark: Pal.lat.1581 | Place: Deutschland (Trier ?)
Pal.lat.1583,766,Pal.lat.1583,Sammelhandschrift,"Boethius, Anicius Manlius Torquatus Severinus;  Pius PP.‏ II (Enea Silvio Piccolomoni); Plutarchus;  Bruni, Leonardo‏; Bonjohannes de Messina",15. Jh.,lat,,,Shelfmark: Pal.lat.1583 | Place: Heidelberg
Pal.lat.1585,528,Pal.lat.1585,Codice miscellaneo,"Boethius, Anicius Manlius Severinus; Pius <Papst, II.> / Enea Silvio Piccolomini; Petrarca, Francesco ; Seneca, Lucius Annaeus <Philosophus>",Sec. XV,Latino,,,Shelfmark: Pal.lat.1585
Pal.lat.1587,218,Pal.lat.1587,Sammelhandschrift,"Sidonius, Caius Sollius Apollinaris; Sammonicus, Quintus Serenus; Ps. Crispus Mediolanensis (Diaconus)",15. Jh.,lat,,,Shelfmark: Pal.lat.1587 | Place: Italien
Pal.lat.1589,652,Pal.lat.1589,Sammelhandschrift,"Aristoteles; Donatus, Aelius; Knab, Erhardus",1453-1458,,,,Shelfmark: Pal.lat.1589 | Place: Heidelberg
Pal.lat.1590,394,Pal.lat.1590,Sammelhandschrift,"Wenck, Johannes; Arnoldus de Monnikendam; Luder, Peter; Dionysius Areopagita",1450-1459,lat,,,Shelfmark: Pal.lat.1590 | Place: Heidelberg
Pal.lat.1594,312,Pal.lat.1594,Sammelhandschrift,"Luschus, Antonius; Tibullus, Albius",15. Jh.,,,,Shelfmark: Pal.lat.1594 | Place: Italien
Pal.lat.1592,310,Pal.lat.1592,Codice miscellaneo (umanistico),,1453,Latino,,,Shelfmark: Pal.lat.1592
Pal.lat.1593,506,Pal.lat.1593,Codice miscellaneo,"Graf, Johannes",1533-1548,Latino,,,Shelfmark: Pal.lat.1593
Pal.lat.1599,183,Pal.lat.1599,Sammelhandschrift,"Plato; Isocrates; Boccaccio, Giovanni; Lysias",1448,lat,,,Shelfmark: Pal.lat.1599 | Place: Mainz
Pal.lat.1600,650,Pal.lat.1600,Sammelhandschrift,"Datus, Augustinus; Bruni, Leonardo;  Conradus Colmach; Ps. Boethius; Adam Teutonicus",1489,lat,,,Shelfmark: Pal.lat.1600 | Place: Deutschland
Pal.lat.1605,378,Pal.lat.1605,Sammelhandschrift,"Manetti, Giannozzo",um 1440-1450,,,,Shelfmark: Pal.lat.1605 | Place: Italien
Pal.lat.1607,256,Pal.lat.1607,Dialogo Consolatorio (1439),"Manetti, Giannozzo",1444,,,,Shelfmark: Pal.lat.1607 | Place: Italien (Toskana?)
Pal.lat.1608,173,Pal.lat.1608,Candelabrum,Bene Florentinus,2. Hälfte 15. Jh,lat,,,Shelfmark: Pal.lat.1608 | Place: Oberitalien
Pal.lat.1954,702,Pal.lat.1954,Opera diversa (Trascrizione scolastica ?),"Luther, Martin",,Latino,,,Shelfmark: Pal.lat.1954
Pal.lat.1955,312,Pal.lat.1955,Diverses lat.-ted.; Copia di lettere,"Luther, Martin",,Latino-tedesco,,,Shelfmark: Pal.lat.1955
Pal.lat.1956,122,Pal.lat.1956,Catalogo della Palatina (1581) Storia,,1581,Latino,,,Shelfmark: Pal.lat.1956
Pal.lat.1957,380,Pal.lat.1957,Französische Bibel,,Anfang 14. Jh,,,,Shelfmark: Pal.lat.1957 | Place: Nordostfrankreich
Pal.lat.1959,338,Pal.lat.1959,Codice miscellaneo (teologia),,1401-1450,Latino,,,Shelfmark: Pal.lat.1959
Pal.lat.1958,472,Pal.lat.1958,"Missale, Übersetzung in französischer Sprache",,1368,fre,,,Shelfmark: Pal.lat.1958
Pal.lat.1960,344,Pal.lat.1960,"Doctrines des Pères, francese dopo Vitae patrum",,,Francese,,,Shelfmark: Pal.lat.1960
Pal.lat.1961,194,Pal.lat.1961,"Jacques le Grant, Livre des bonnes meours","Legrand, Jacques (?)",Sec. XV,Francese,,,Shelfmark: Pal.lat.1961
Pal.lat.1962,638,Pal.lat.1962,Recueil des histoires de Troie,"Le Fèvre, Raoul",15. Jh.,,,,Shelfmark: Pal.lat.1962
Pal.lat.1965,124,Pal.lat.1965,Le jeu des échecs moralisés,,15. Jh.,fre,,,Shelfmark: Pal.lat.1965
Pal.lat.1963,534,Pal.lat.1963,Histoire de la guerre sainte,Guilelmus de Tyro,13. Jh.,,,,Shelfmark: Pal.lat.1963
Pal.lat.1964,808,Pal.lat.1964,"Tristanroman in Prosa, französisch",,14. Jh.,fre,,,Shelfmark: Pal.lat.1964
Pal.lat.1966,390,Pal.lat.1966,La cité des dames,Christine <de Pisan>,Sec. XV,Francese,,,Shelfmark: Pal.lat.1966
Pal.lat.1967,218,Pal.lat.1967,"Régime du corps, Mort d'Artus",Aldobrandino (da Siena),,fre,,,Shelfmark: Pal.lat.1967
Pal.lat.1970,210,Pal.lat.1970,"William de Waddington, Manuel des péchés",William de Wadington,um 1300,,,,Shelfmark: Pal.lat.1970
Pal.lat.1968,393,Pal.lat.1968,Le champion des dames,Martin <Lefranc>,Sec. XV,Francese,,,Shelfmark: Pal.lat.1968
Pal.lat.1971,213,Pal.lat.1971,"Partonopeus de Blois, Fragmente verschiedener Schriften",,13. Jh.,und,,,Shelfmark: Pal.lat.1971
Pal.lat.1969,484,Pal.lat.1969,Les miracles de Notre Dame,Gautier de Coincy,14. Jh.,fre,,,Shelfmark: Pal.lat.1969
Pal.lat.1972,313,Pal.lat.1972,Folque de Candie,Herbert le Duc,13. Jh.,,,,Shelfmark: Pal.lat.1972
Pal.lat.1973,444,Pal.lat.1973,Horloge de sapience,"Seuse, Heinrich",Sec. XV,Francese,,,Shelfmark: Pal.lat.1973
Pal.lat.1974,287,Pal.lat.1974,"Note storiografiche, copie di lettere",,1505-1520,,,,Shelfmark: Pal.lat.1974
Pal.lat.1975,374,Pal.lat.1975,Gebetbuch in deutscher Sprache,,Mitte 16. Jh.,,,,Shelfmark: Pal.lat.1975
Pal.lat.1976,240,Pal.lat.1976,"38 Motetten, Stimmbuch (Cantus)",,um 1527,,,,Shelfmark: Pal.lat.1976
Pal.lat.1977,244,Pal.lat.1977,"38 Motetten, Stimmbuch (Contratenor)",,um 1527,,,,Shelfmark: Pal.lat.1977
Pal.lat.1978,226,Pal.lat.1978,"38 Motetten, Stimmbuch (Bass)",,um 1527,,,,Shelfmark: Pal.lat.1978
Pal.lat.1979,222,Pal.lat.1979,"38 Motetten, Stimmbuch (Tenor)",,um 1527,,,,Shelfmark: Pal.lat.1979
Pal.lat.1980,190,Pal.lat.1980,"Messen, Motetten, Stimmbuch (Tenor)",,um 1520,,,,Shelfmark: Pal.lat.1980
Pal.lat.1981,206,Pal.lat.1981,"Messen, Motetten, Stimmbuch (Bassus)",,um 1520,,,,Shelfmark: Pal.lat.1981
Pal.lat.1982,382,Pal.lat.1982,"Messen, Stimmbuch (Cantus)",,um 1520,,,,Shelfmark: Pal.lat.1982
Pal.lat.1983,90,Pal.lat.1983,Tragédie du Sac de Cabrière,,16. Jh.,,,,Shelfmark: Pal.lat.1983
Pal.lat.1984,184,Pal.lat.1984,Poesie francesi del XVI secolo,,Sec. XVI,Francese,,,Shelfmark: Pal.lat.1984
Pal.lat.1985,34,Pal.lat.1985,"Rappresentazioni allegoriche, riproduzioni (?) di arazzi (?)",,Sec. XVI,,,,Shelfmark: Pal.lat.1985
Pal.lat.1986,416,Pal.lat.1986,Bellifortis,"Kyeser, Conradus",1. Hälfte 15. Jh./ 1423,,,,Shelfmark: Pal.lat.1986
Pal.lat.1987,264,Pal.lat.1987,Commentari sui Salmi latini,Johannes a Breda (?),,Latino,,,Shelfmark: Pal.lat.1987
Pal.lat.1988,130,Pal.lat.1988,Le saint Voult de Luques,,15. Jh.,,,,Shelfmark: Pal.lat.1988
Pal.lat.1990,304,Pal.lat.1990,Lien du corps à l'âme,Aldobrandino da Siena,15. Jh.,,,,Shelfmark: Pal.lat.1990
Pal.lat.1992,374,Pal.lat.1992,Livre de Mandevie,Jehan Dupin,Sec. XV,Francese,,,Shelfmark: Pal.lat.1992
Pal.lat.1991,394,Pal.lat.1991,Vertu de la messe ; Horloge de sapience,"Seuse, Heinrich",Sec. XV,Francese,,,Shelfmark: Pal.lat.1991
Pal.lat.1993,109,Pal.lat.1993,Diario di Opicino de Canistris.,"Opicinus de Canistris, sac., 1296-c. 1352",sec. XIV med.,Latino.,,,Shelfmark: Pal.lat.1993
Pal.lat.1994,342,Pal.lat.1994,Bellifortis,"Kyeser, Conradus",1. Drittel 15. Jh.,,,,Shelfmark: Pal.lat.1994
Pal.lat.1996,78,Pal.lat.1996,"Calendario da scrivania, diario del conte palatino Giovanni Casimiro",,1567,,,,Shelfmark: Pal.lat.1996
Pal.lat.1995,202,Pal.lat.1995,Livre des bonnes moeurs,"Legrand, Jacques",1467,,,,Shelfmark: Pal.lat.1995
Pal.lat.1997,78,Pal.lat.1997,"Calendario da scrivania, diario del conte palatino Giovanni Casimiro",,1570,,,,Shelfmark: Pal.lat.1997
Pal.lat.1998,174,Pal.lat.1998,"Calendario da scrivania, annotazioni di Federico III",,1571,,,,Shelfmark: Pal.lat.1998
Pal.lat.1999,126,Pal.lat.1999,"Calendario da scrivania, diario del conte palatino Giovanni Casimiro",,1571,,,,Shelfmark: Pal.lat.1999
Pal.lat.2000,126,Pal.lat.2000,"Schreibkalender, Tagebuch Pfalzgraf Johann Casimirs",,1574,,,,Shelfmark: Pal.lat.2000
